date,platform,campaign,spend,clicks,impressions
2026-01-01,facebook,fb_prospecting,484,1450,36940
2026-01-01,facebook,fb_retargeting,335,515,15452
2026-01-01,google,google_search,494,1295,25248
2026-01-01,google,google_shopping,364,1513,22321
2026-01-02,facebook,fb_prospecting,677,1407,34308
2026-01-02,facebook,fb_retargeting,371,500,12313
2026-01-02,google,google_search,507,1421,20831
2026-01-02,google,google_shopping,361,1244,29728
2026-01-03,facebook,fb_prospecting,587,1665,23917
2026-01-03,facebook,fb_retargeting,368,919,12936
2026-01-03,google,google_search,578,970,27421
2026-01-03,google,google_shopping,374,1429,21261
2026-01-04,facebook,fb_prospecting,540,1554,38203
2026-01-04,facebook,fb_retargeting,345,814,11342
2026-01-04,google,google_search,391,978,16079
2026-01-04,google,google_shopping,504,1571,22206
2026-01-05,facebook,fb_prospecting,536,1231,35327
2026-01-05,facebook,fb_retargeting,267,748,15089
2026-01-05,google,google_search,305,1231,17653
2026-01-05,google,google_shopping,618,1436,30435
2026-01-06,facebook,fb_prospecting,517,1849,39281
2026-01-06,facebook,fb_retargeting,265,869,14270
2026-01-06,google,google_search,375,1294,22116
2026-01-06,google,google_shopping,463,1010,19784
2026-01-07,facebook,fb_prospecting,602,1146,29190
2026-01-07,facebook,fb_retargeting,252,1037,16893
2026-01-07,google,google_search,313,1173,29892
2026-01-07,google,google_shopping,565,1132,30992
2026-01-08,facebook,fb_prospecting,450,1938,31126
2026-01-08,facebook,fb_retargeting,350,939,17669
2026-01-08,google,google_search,574,875,19534
2026-01-08,google,google_shopping,569,1598,19312
2026-01-09,facebook,fb_prospecting,427,1890,32979
2026-01-09,facebook,fb_retargeting,325,676,17204
2026-01-09,google,google_search,398,1409,15126
2026-01-09,google,google_shopping,517,1491,30581
2026-01-10,facebook,fb_prospecting,525,1342,29211
2026-01-10,facebook,fb_retargeting,253,1161,16671
2026-01-10,google,google_search,327,1218,19539
2026-01-10,google,google_shopping,522,1457,20887
2026-01-11,facebook,fb_prospecting,635,1438,24086
2026-01-11,facebook,fb_retargeting,284,584,16040
2026-01-11,google,google_search,364,1445,19758
2026-01-11,google,google_shopping,464,963,29606
2026-01-12,facebook,fb_prospecting,557,1588,20490
2026-01-12,facebook,fb_retargeting,345,962,13296
2026-01-12,google,google_search,402,1265,18159
2026-01-12,google,google_shopping,517,1334,18681
