date,source,medium,sessions,users,add_to_cart,purchases
2026-01-01,google,cpc,1284,952,329,47
2026-01-01,facebook,paid,1915,1415,543,59
2026-01-01,organic,seo,1200,901,288,42
2026-01-02,google,cpc,1657,1454,392,61
2026-01-02,facebook,paid,1737,1322,368,39
2026-01-02,organic,seo,1327,982,261,35
2026-01-03,google,cpc,1754,1530,491,80
2026-01-03,facebook,paid,1194,880,192,20
2026-01-03,organic,seo,1195,942,260,46
2026-01-04,google,cpc,1183,958,272,43
2026-01-04,facebook,paid,860,657,163,14
2026-01-04,organic,seo,1722,1410,326,52
2026-01-05,google,cpc,1774,1533,388,69
2026-01-05,facebook,paid,1139,881,244,19
2026-01-05,organic,seo,1374,1034,291,50
2026-01-06,google,cpc,1627,1151,406,56
2026-01-06,facebook,paid,855,632,194,21
2026-01-06,organic,seo,1254,1127,343,58
2026-01-07,google,cpc,1130,974,289,51
2026-01-07,facebook,paid,826,743,164,18
2026-01-07,organic,seo,1279,1067,192,28
2026-01-08,google,cpc,1150,814,243,31
2026-01-08,facebook,paid,1811,1590,502,48
2026-01-08,organic,seo,1307,1085,241,29
2026-01-09,google,cpc,1261,1113,322,44
2026-01-09,facebook,paid,1006,807,151,17
2026-01-09,organic,seo,1508,1316,358,55
2026-01-10,google,cpc,1182,1000,297,38
2026-01-10,facebook,paid,1871,1533,541,63
2026-01-10,organic,seo,1494,1230,365,54
2026-01-11,google,cpc,1579,1261,440,64
2026-01-11,facebook,paid,1837,1305,400,42
2026-01-11,organic,seo,1493,1156,434,56
2026-01-12,google,cpc,1370,1150,338,46
2026-01-12,facebook,paid,1632,1349,391,34
2026-01-12,organic,seo,1205,953,301,51
2026-01-13,google,cpc,1453,1034,367,44
2026-01-13,facebook,paid,1882,1580,518,58
2026-01-13,organic,seo,965,778,215,30
2026-01-14,google,cpc,1772,1447,487,77
2026-01-14,facebook,paid,1675,1291,264,21
2026-01-14,organic,seo,1095,817,314,49
2026-01-15,google,cpc,1238,1085,308,40
2026-01-15,facebook,paid,1868,1672,471,44
2026-01-15,organic,seo,887,777,149,19
2026-01-16,google,cpc,1264,1042,374,55
2026-01-16,facebook,paid,1406,1202,237,22
2026-01-16,organic,seo,1744,1454,494,68
2026-01-17,google,cpc,1293,1004,207,27
2026-01-17,facebook,paid,1562,1239,297,24
2026-01-17,organic,seo,1363,1073,312,55
2026-01-18,google,cpc,1383,1089,265,44
2026-01-18,facebook,paid,909,750,166,13
2026-01-18,organic,seo,1449,1088,294,47
2026-01-19,google,cpc,835,619,226,29
2026-01-19,facebook,paid,965,842,167,13
2026-01-19,organic,seo,830,631,194,32
2026-01-20,google,cpc,1252,996,334,46
2026-01-20,facebook,paid,1935,1421,544,53
2026-01-20,organic,seo,1534,1167,419,51
2026-01-21,google,cpc,983,759,175,24
2026-01-21,facebook,paid,1329,1107,354,40
2026-01-21,organic,seo,1630,1182,382,63
2026-01-22,google,cpc,839,649,150,22
2026-01-22,facebook,paid,1000,798,222,25
2026-01-22,organic,seo,1560,1360,329,45
2026-01-23,google,cpc,986,840,166,21
2026-01-23,facebook,paid,1648,1423,373,40
2026-01-23,organic,seo,987,787,243,32
2026-01-24,google,cpc,1895,1467,472,60
2026-01-24,facebook,paid,919,677,176,15
2026-01-24,organic,seo,1557,1347,300,52
2026-01-25,google,cpc,1511,1226,310,51
2026-01-25,facebook,paid,1705,1318,278,28
2026-01-25,organic,seo,1148,986,202,32
2026-01-26,google,cpc,1086,807,305,41
2026-01-26,facebook,paid,1187,831,333,37
2026-01-26,organic,seo,1075,833,198,26
2026-01-27,google,cpc,1710,1265,331,44
2026-01-27,facebook,paid,908,807,219,25
2026-01-27,organic,seo,1934,1705,425,62
2026-01-28,google,cpc,1686,1344,361,56
2026-01-28,facebook,paid,1670,1481,344,37
2026-01-28,organic,seo,1580,1319,417,51
2026-01-29,google,cpc,1648,1321,399,69
2026-01-29,facebook,paid,1513,1293,254,26
2026-01-29,organic,seo,1725,1397,372,63
2026-01-30,google,cpc,1824,1567,479,63
2026-01-30,facebook,paid,939,793,156,16
2026-01-30,organic,seo,871,770,221,34
2026-01-31,google,cpc,1865,1451,489,62
2026-01-31,facebook,paid,1072,795,250,28
2026-01-31,organic,seo,1223,1083,254,31
2026-02-01,google,cpc,1292,1118,295,49
2026-02-01,facebook,paid,1026,804,198,18
2026-02-01,organic,seo,1886,1335,463,72
2026-02-02,google,cpc,1829,1528,361,61
2026-02-02,facebook,paid,1942,1592,438,41
2026-02-02,organic,seo,976,738,287,34
2026-02-03,google,cpc,1776,1494,432,77
2026-02-03,facebook,paid,1051,807,170,16
2026-02-03,organic,seo,1696,1217,506,77
2026-02-04,google,cpc,1259,928,259,45
2026-02-04,facebook,paid,1722,1237,300,31
2026-02-04,organic,seo,1271,976,276,48
2026-02-05,google,cpc,1719,1365,428,70
2026-02-05,facebook,paid,1833,1348,355,30
2026-02-05,organic,seo,1263,1082,277,47
2026-02-06,google,cpc,961,837,195,32
2026-02-06,facebook,paid,1955,1491,495,44
2026-02-06,organic,seo,1469,1304,353,60
2026-02-07,google,cpc,1427,1033,371,56
2026-02-07,facebook,paid,1093,914,319,27
2026-02-07,organic,seo,1774,1395,309,39
2026-02-08,google,cpc,869,765,175,28
2026-02-08,facebook,paid,890,788,243,24
2026-02-08,organic,seo,991,871,208,29
2026-02-09,google,cpc,1808,1295,340,56
2026-02-09,facebook,paid,1110,857,181,18
2026-02-09,organic,seo,1384,1216,370,59
2026-02-10,google,cpc,1618,1345,371,46
2026-02-10,facebook,paid,1516,1233,294,34
2026-02-10,organic,seo,1531,1372,289,51
2026-02-11,google,cpc,1473,1045,232,37
2026-02-11,facebook,paid,1077,802,260,23
2026-02-11,organic,seo,1493,1313,390,48
2026-02-12,google,cpc,1410,1085,288,48
2026-02-12,facebook,paid,1328,1077,230,26
2026-02-12,organic,seo,1295,1031,357,47
2026-02-13,google,cpc,871,750,238,34
2026-02-13,facebook,paid,1214,923,351,29
2026-02-13,organic,seo,1781,1273,379,59
2026-02-14,google,cpc,1828,1393,342,54
2026-02-14,facebook,paid,1553,1388,363,39
2026-02-14,organic,seo,812,604,150,22
2026-02-15,google,cpc,1374,1219,342,42
2026-02-15,facebook,paid,921,798,250,26
2026-02-15,organic,seo,944,830,277,40
