date,source,medium,sessions,users,add_to_cart,purchases,cr_purchase,cr_cart
2026-01-01,google,cpc,1284,952,329,47,0.03660436137071651,0.2562305295950156
2026-01-01,facebook,paid,1915,1415,543,59,0.03080939947780679,0.2835509138381201
2026-01-01,organic,seo,1200,901,288,42,0.035,0.24
2026-01-02,google,cpc,1657,1454,392,61,0.036813518406759206,0.23657211828605915
2026-01-02,facebook,paid,1737,1322,368,39,0.022452504317789293,0.2118595279217041
2026-01-02,organic,seo,1327,982,261,35,0.02637528259231349,0.1966842501883949
2026-01-03,google,cpc,1754,1530,491,80,0.04561003420752566,0.2799315849486887
2026-01-03,facebook,paid,1194,880,192,20,0.01675041876046901,0.16080402010050251
2026-01-03,organic,seo,1195,942,260,46,0.038493723849372385,0.2175732217573222
2026-01-04,google,cpc,1183,958,272,43,0.03634826711749789,0.22992392223161454
2026-01-04,facebook,paid,860,657,163,14,0.01627906976744186,0.18953488372093022
2026-01-04,organic,seo,1722,1410,326,52,0.030197444831591175,0.18931475029036005
2026-01-05,google,cpc,1774,1533,388,69,0.03889515219842165,0.21871476888387825
2026-01-05,facebook,paid,1139,881,244,19,0.016681299385425813,0.21422300263388938
2026-01-05,organic,seo,1374,1034,291,50,0.036390101892285295,0.21179039301310043
2026-01-06,google,cpc,1627,1151,406,56,0.034419176398279044,0.24953902888752305
2026-01-06,facebook,paid,855,632,194,21,0.02456140350877193,0.22690058479532163
2026-01-06,organic,seo,1254,1127,343,58,0.046251993620414676,0.27352472089314195
2026-01-07,google,cpc,1130,974,289,51,0.04513274336283186,0.2557522123893805
2026-01-07,facebook,paid,826,743,164,18,0.021791767554479417,0.19854721549636803
2026-01-07,organic,seo,1279,1067,192,28,0.0218921032056294,0.15011727912431588
2026-01-08,google,cpc,1150,814,243,31,0.026956521739130435,0.21130434782608695
2026-01-08,facebook,paid,1811,1590,502,48,0.02650469353948095,0.2771949199337383
2026-01-08,organic,seo,1307,1085,241,29,0.02218821729150727,0.18439173680183626
2026-01-09,google,cpc,1261,1113,322,44,0.034892942109436956,0.25535289452815224
2026-01-09,facebook,paid,1006,807,151,17,0.016898608349900597,0.15009940357852883
2026-01-09,organic,seo,1508,1316,358,55,0.03647214854111406,0.23740053050397877
2026-01-10,google,cpc,1182,1000,297,38,0.032148900169204735,0.2512690355329949
2026-01-10,facebook,paid,1871,1533,541,63,0.03367183324425441,0.28915018706574025
2026-01-10,organic,seo,1494,1230,365,54,0.03614457831325301,0.24431057563587685
2026-01-11,google,cpc,1579,1261,440,64,0.04053198226725776,0.2786573780873971
2026-01-11,facebook,paid,1837,1305,400,42,0.02286336418072945,0.21774632553075668
2026-01-11,organic,seo,1493,1156,434,56,0.03750837240455459,0.29068988613529806
2026-01-12,google,cpc,1370,1150,338,46,0.033576642335766425,0.24671532846715327
2026-01-12,facebook,paid,1632,1349,391,34,0.020833333333333332,0.23958333333333334
2026-01-12,organic,seo,1205,953,301,51,0.04232365145228216,0.24979253112033195
2026-01-13,google,cpc,1453,1034,367,44,0.030282174810736407,0.25258086717136957
2026-01-13,facebook,paid,1882,1580,518,58,0.030818278427205102,0.27523910733262485
2026-01-13,organic,seo,965,778,215,30,0.031088082901554404,0.22279792746113988
2026-01-14,google,cpc,1772,1447,487,77,0.04345372460496614,0.2748306997742664
