order_id,order_date,customer_id,country,revenue,shipping_cost,refund_amount
1001,2026-01-01,C72,USA,142,19,0.0
1002,2026-01-01,C467,UK,70,11,0.0
1003,2026-01-01,C373,UK,124,15,24.8
1004,2026-01-01,C344,Germany,199,9,0.0
1005,2026-01-01,C277,USA,87,6,17.400000000000002
1006,2026-01-01,C253,USA,253,14,0.0
1007,2026-01-01,C511,Germany,98,15,0.0
1008,2026-01-01,C783,Germany,269,16,53.8
1009,2026-01-02,C505,UK,157,11,31.4
1010,2026-01-02,C21,USA,278,7,0.0
1011,2026-01-02,C601,Germany,216,6,43.2
1012,2026-01-02,C346,USA,291,14,0.0
1013,2026-01-02,C367,UK,179,8,35.800000000000004
1014,2026-01-02,C35,Germany,221,17,44.2
1015,2026-01-02,C388,Germany,130,8,0.0
1016,2026-01-03,C703,Germany,53,10,0.0
1017,2026-01-03,C202,Germany,267,16,0.0
1018,2026-01-03,C271,Germany,277,18,0.0
1019,2026-01-03,C702,USA,264,16,0.0
1020,2026-01-03,C53,Germany,257,17,0.0
1021,2026-01-03,C380,USA,266,16,53.2
1022,2026-01-04,C65,USA,206,19,0.0
1023,2026-01-04,C129,UK,120,13,24.0
1024,2026-01-04,C392,UK,188,7,0.0
1025,2026-01-04,C773,Germany,212,5,0.0
1026,2026-01-04,C28,UK,280,14,0.0
1027,2026-01-05,C33,UK,121,16,0.0
1028,2026-01-05,C99,Germany,200,18,40.0
1029,2026-01-05,C739,USA,268,7,0.0
1030,2026-01-05,C769,USA,224,18,0.0
1031,2026-01-05,C398,UK,267,11,0.0
1032,2026-01-06,C554,USA,186,19,0.0
1033,2026-01-06,C743,USA,228,19,45.6
1034,2026-01-06,C734,USA,101,17,20.200000000000003
1035,2026-01-06,C655,UK,200,11,0.0
1036,2026-01-06,C160,UK,78,8,0.0
1037,2026-01-06,C796,Germany,236,7,0.0
1038,2026-01-06,C646,Germany,219,17,0.0
1039,2026-01-07,C348,USA,177,14,0.0
1040,2026-01-07,C385,USA,280,18,0.0
1041,2026-01-07,C628,USA,76,18,0.0
1042,2026-01-07,C710,UK,282,7,0.0
1043,2026-01-07,C225,UK,186,18,0.0
1044,2026-01-07,C374,USA,283,16,56.6
1045,2026-01-07,C497,Germany,229,5,0.0
1046,2026-01-08,C386,UK,61,18,0.0
1047,2026-01-08,C81,UK,162,9,0.0
1048,2026-01-08,C220,Germany,162,6,0.0
1049,2026-01-08,C225,USA,136,9,27.200000000000003
1050,2026-01-08,C53,Germany,196,18,0.0
1051,2026-01-08,C247,UK,209,10,41.8
1052,2026-01-08,C401,UK,252,12,0.0
