order_date,ship_date,ship_mode,customer_id,segment,city,state,region,product_id,category,subcategory,sales,quantity,discount,profit
2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,261.96,2,0.0,41.9136
2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,731.94,3,0.0,219.582
2016-06-12,2016-06-16,Second Class,DV-13045,Corporate,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,14.62,2,0.0,6.8714
2015-10-11,2015-10-18,Standard Class,SO-20335,Consumer,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,957.5775,5,0.45,-383.031
2015-10-11,2015-10-18,Standard Class,SO-20335,Consumer,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,22.368,2,0.2,2.5164
2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,48.86,7,0.0,14.1694
2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,7.28,4,0.0,1.9656
2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,907.152,6,0.2,90.7152
2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,18.504,3,0.2,5.7825
2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,114.9,5,0.0,34.47
2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,1706.184,9,0.2,85.3092
2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,911.424,4,0.2,68.3568
2017-04-15,2017-04-20,Standard Class,AA-10480,Consumer,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,15.552,3,0.2,5.4432
2016-12-05,2016-12-10,Standard Class,IM-15070,Consumer,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,407.976,3,0.2,132.5922
2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,0.8,-123.858
2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,2.544,3,0.8,-3.816
2014-11-11,2014-11-18,Standard Class,PK-19075,Consumer,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,665.88,6,0.0,13.3176
2014-05-13,2014-05-15,Second Class,AG-10270,Consumer,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,55.5,2,0.0,9.99
2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,8.56,2,0.0,2.4824
2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,213.48,3,0.2,16.011
2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,22.72,4,0.2,7.384
